rec-id,gender,gname,fname,postcode,age,occup
rec-000-dup-0,f,isabe|la,green,2905,a,NA
rec-000-org,f,isabella,green,2905,s,3
rec-001-dup-0,f,kyrka,salce5o,2913,h,4
rec-001-org,f,kyra,salcedo,2913,h,5
rec-002-dup-0,m,james,crebee,2605,k,3
rec-002-org,m,james,creber,2605,j,2
rec-003-dup-0,f,emiili,nkurye,2906,NA,8
rec-003-org,f,emiily,nguyen,2906,j,8
rec-004-dup-0,f,lara,bekwith,2614,NA,2
rec-004-org,f,lara,beckwith,2614,h,1
rec-005-dup-0,m,aidyn,ej>rt,2913,f,NA
rec-005-org,m,aidyn,ebert,2913,g,2
rec-006-dup-0,f,emiiljy,boyl,2914,g,7
rec-006-org,f,emiily,boyle,2914,g,8
rec-007-dup-0,m,zaydeb,mc1<rlie,2904,g,2
rec-007-org,m,jayden,mckerlie,2904,f,2
rec-008-dup-0,m,cooper,tonaldson,2614,NA,4
rec-008-org,m,cooper,donaldson,2614,s,3
rec-009-dup-0,m,antonio,ryati,2614,a,4
rec-009-org,m,antonio,ryan,2614,s,5
rec-010-dup-0,m,ethav,wyllie,2611,NA,NA
rec-010-org,m,ethan,wyllie,2611,f,7
rec-011-dup-0,f,emuily,wh'lte,2615,NA,6
rec-011-org,f,emiily,white,2615,a,6
rec-012-dup-0,f,sophi,murphv-dorsett,2904,s,NA
rec-012-org,f,sophie,murphy-dorsett,2904,s,3
rec-013-dup-0,f,eborii,white,2617,s,5
rec-013-org,f,eboni,white,2617,d,6
rec-014-dup-0,f,emiili,muetom,2615,g,2
rec-014-org,f,emiily,murton,2615,f,2
rec-015-dup-0,m,dyjan,white,2903,NA,3
rec-015-org,m,dylan,white,2903,g,2
rec-016-dup-0,m,mac,sterrt,2605,f,NA
rec-016-org,m,max,sterry,2605,f,2
rec-017-dup-0,m,chriatopher,delfos,2600,NA,NA
rec-017-org,m,christopher,delfos,2600,f,2
rec-018-dup-0,m,kyle,chappek,2600,NA,NA
rec-018-org,m,kyle,chappel,2600,f,2
rec-019-dup-0,m,michael,mooienaar,2906,a,NA
rec-019-org,m,michael,moolenaar,2906,s,8
rec-020-dup-0,f,trinitwy,joily,2902,g,1
rec-020-org,f,trinity,jolly,2902,g,2
rec-021-dup-0,m,hamish,klarye,2600,g,4
rec-021-org,m,hamish,clarke,2600,h,3
rec-022-dup-0,f,|ucv,bosb0om,2617,j,2
rec-022-org,f,lucy,bosboom,2617,k,2
rec-023-dup-0,m,frazser,eglinron,2600,d,NA
rec-023-org,m,fraser,eglinton,2600,d,2
rec-024-dup-0,f,rebeka,pinnvkck,2617,a,NA
rec-024-org,f,rebecca,pinnuck,2617,a,6
rec-025-dup-0,m,gabriel,scanngell,2906,h,NA
rec-025-org,m,gabriel,scannell,2906,g,1
rec-026-dup-0,f,tas,noble,2906,NA,NA
rec-026-org,f,tara,noble,2906,g,2
rec-027-dup-0,f,emi'ldly,crebee,2906,h,NA
rec-027-org,f,emiily,creber,2906,h,1
rec-028-dup-0,f,jorja,bceafell,2602,NA,2
rec-028-org,f,jorja,beadell,2602,f,1
rec-029-dup-0,m,saggah,wh'lte,2611,h,5
rec-029-org,m,jaggah,white,2611,j,5
rec-030-dup-0,m,joshia,ncfadden,2600,NA,5
rec-030-org,m,joshua,mcfadden,2600,d,5
rec-031-dup-0,m,nicho5a5,grosset,2615,f,4
rec-031-org,m,nicholas,grosser,2615,f,5
rec-032-dup-0,f,emna,vanbrecht,2612,NA,NA
rec-032-org,f,emma,vanbrecht,2612,f,7
rec-033-dup-0,m,pearson,mccartbt,2905,a,5
rec-033-org,m,pearson,mccarthy,2905,s,4
rec-034-dup-0,m,harruson,jtubbs,2614,d,2
rec-034-org,m,harrison,stubbs,2614,d,3
rec-035-dup-0,f,olivia,eldetton,2606,NA,9
rec-035-org,f,olivia,elderton,2606,s,8
rec-036-dup-0,f,racegl,webl>,2913,d,NA
rec-036-org,f,rachel,webb,2913,d,3
rec-037-dup-0,m,tanar,ruridle,2612,NA,NA
rec-037-org,m,tanar,rundle,2612,d,8
rec-038-dup-0,m,seremiab,milest,2906,NA,1
rec-038-org,m,jeremiah,miles,2906,h,1
rec-039-dup-0,f,hanloah,clarkc,2903,f,5
rec-039-org,f,hannah,clarke,2903,f,4
rec-040-dup-0,f,sarab,vimpang,2602,s,6
rec-040-org,f,sarah,vimpany,2602,d,6
rec-041-dup-0,m,zairus,beattie,2906,NA,2
rec-041-org,m,jairus,beattie,2906,f,1
rec-042-dup-0,m,lachlaln,bery,2903,g,3
rec-042-org,m,lachlan,berry,2903,h,3
rec-043-dup-0,m,lukx,beryman,2614,NA,2
rec-043-org,m,luke,berryman,2614,g,2
rec-044-dup-0,f,callie,nokwla,2615,NA,NA
rec-044-org,f,callie,nocella,2615,j,7
rec-045-dup-0,m,ricard,litsy,2614,s,3
rec-045-org,m,richard,liddy,2614,a,3
rec-046-dup-0,f,cortney,boss,2611,s,NA
rec-046-org,f,courtney,boss,2611,d,2
rec-047-dup-0,m,fergvs,kanavan,2611,NA,5
rec-047-org,m,fergus,canavan,2611,h,5
rec-048-dup-0,m,joel,esrm,2615,f,NA
rec-048-org,m,joel,hearn,2615,d,5
rec-049-dup-0,f,stella,keripster,2617,f,7
rec-049-org,f,stella,kenpster,2617,s,8
rec-050-dup-0,f,alissa,hpe,2607,NA,5
rec-050-org,f,alissa,hope,2607,g,6
rec-051-dup-0,f,bianva,fitzpatrick,2611,j,NA
rec-051-org,f,bianca,fitzpatrick,2611,g,4
rec-052-dup-0,m,jacpb,njite,2602,f,4
rec-052-org,m,jacob,white,2602,d,4
rec-053-dup-0,f,sakscha,anjewierden,2905,NA,NA
rec-053-org,f,sascha,anjewierden,2905,k,8
rec-054-dup-0,f,asba,siganto,2604,NA,2
rec-054-org,f,asha,siganto,2604,h,1
rec-055-dup-0,f,canning,loww,2617,NA,7
rec-055-org,f,channing,lowe,2617,h,7
rec-056-dup-0,m,thpmas,lpngo,2615,g,NA
rec-056-org,m,thomas,longo,2615,g,3
rec-057-dup-0,m,benjarnin,tiler,2617,g,3
rec-057-org,m,benjamin,tiller,2617,g,2
rec-058-dup-0,m,matahew,lowe,2617,h,7
rec-058-org,m,matthew,lowe,2617,g,8
rec-059-dup-0,f,lillay,haji,2602,f,3
rec-059-org,f,lilly,haji,2602,d,2
rec-060-dup-0,f,steponie,cohonen,2617,d,9
rec-060-org,f,stephanie,cohonen,2617,g,8
rec-061-dup-0,m,oskar,painter,2615,NA,NA
rec-061-org,m,oscar,painter,2615,j,8
rec-062-dup-0,m,jacbary,white,2602,NA,NA
rec-062-org,m,zachary,white,2602,a,7
rec-063-dup-0,m,coooer,kreren,2913,s,6
rec-063-org,m,cooper,green,2913,a,6
rec-064-dup-0,f,geogva,mxcarthy,2913,f,NA
rec-064-org,f,georgia,mccarthy,2913,f,5
rec-065-dup-0,m,ryan,jutkins,2615,NA,2
rec-065-org,m,ryan,judkins,2615,d,3
rec-066-dup-0,f,tesille,bwrrynan,2904,NA,2
rec-066-org,f,tenille,berryman,2904,f,2
rec-067-dup-0,f,isbella,sttatton,2913,k,2
rec-067-org,f,isabella,statton,2913,j,2
rec-068-dup-0,m,xavir,smallacombe,2913,NA,NA
rec-068-org,m,xavier,smallacombe,2913,j,1
rec-069-dup-0,f,liluan,hoerner,2913,NA,NA
rec-069-org,f,lilian,hoerner,2913,f,2
rec-070-dup-0,f,leciwx,shinnnck,2605,NA,6
rec-070-org,f,lexie,shinnick,2605,f,6
rec-071-dup-0,f,jessika,furneauks,2612,NA,5
rec-071-org,f,jessica,furneaux,2612,g,5
rec-072-dup-0,m,jason,brazzalptto,2607,f,NA
rec-072-org,m,jason,brazzalotto,2607,g,6
rec-073-dup-0,f,mackayla,haxt0n,2611,j,NA
rec-073-org,f,makayla,haxton,2611,j,2
rec-074-dup-0,f,lavra,pein9je,2603,NA,5
