rec-id,gender,gname,fname,postcode,age,occup
rec-000-dup-0,f,petreece,hoffman,2607,s,1
rec-000-org,f,petreece,hoffman,2607,s,2
rec-001-dup-0,f,georgia,mccarthy,2905,f,1
rec-001-org,f,georgia,mccarthy,2905,g,1
rec-002-dup-0,m,levu,pfiefer,2614,d,2
rec-002-org,m,levi,pfiefer,2614,d,2
rec-003-dup-0,m,jacob,purdon,2617,a,NA
rec-003-org,m,jacob,purdon,2617,a,3
rec-004-dup-0,m,samuel,cowe1l,2611,f,2
rec-004-org,m,samuel,cowell,2611,f,2
rec-005-dup-0,f,abbey,stanley,2620,g,NA
rec-005-org,f,abbey,stanley,2620,g,5
rec-006-dup-0,m,zachary,de fazio,2617,f,3
rec-006-org,m,zachary,de fazio,2617,d,3
rec-007-dup-0,m,travis,clarke,2905,g,2
rec-007-org,m,travis,clarke,2905,g,1
rec-008-dup-0,f,sarah,hope,2602,d,7
rec-008-org,f,sarah,hope,2602,d,6
rec-009-dup-0,f,alexandra,rundle,2611,k,3
rec-009-org,f,alexandra,rundle,2611,j,3
rec-010-dup-0,m,william,bycroft,2607,NA,2
rec-010-org,m,william,bycroft,2607,d,2
rec-011-dup-0,m,nicholas,obringeah,2617,d,2
rec-011-org,m,nicholas,obringer,2617,d,2
rec-012-dup-0,f,lucy,kiripol5zki,2903,d,4
rec-012-org,f,lucy,kiripolszki,2903,d,4
rec-013-dup-0,f,mikayla,legzdinst,2614,d,3
rec-013-org,f,mikayla,legzdins,2614,d,3
rec-014-dup-0,m,christopher,drechsler,2617,s,6
rec-014-org,m,christopher,drechsler,2617,a,6
rec-015-dup-0,m,calfin,bartel,2611,g,4
rec-015-org,m,calvin,bartel,2611,g,4
rec-016-dup-0,f,brooklyn,ranson,2902,h,NA
rec-016-org,f,brooklyn,ranson,2902,h,6
rec-017-dup-0,m,auden,green,2913,a,6
rec-017-org,m,aiden,green,2913,a,6
rec-018-dup-0,m,ka,mosmondr,2902,h,2
rec-018-org,m,ka,mosmondor,2902,h,2
rec-019-dup-0,m,jac0b,miles,2903,s,3
rec-019-org,m,jacob,miles,2903,s,3
rec-020-dup-0,m,daniel,grierjon,2612,f,5
rec-020-org,m,daniel,grierson,2612,f,5
rec-021-dup-0,f,cheree,schusteah,2615,s,8
rec-021-org,f,cheree,schuster,2615,s,8
rec-022-dup-0,m,barnaby,senesi,2614,g,7
rec-022-org,m,barnaby,senesi,2614,g,6
rec-023-dup-0,m,timothy,staton,2614,k,1
rec-023-org,m,timothy,statton,2614,k,1
rec-024-dup-0,m,luke,ryan,2615,s,6
rec-024-org,m,luke,ryan,2615,a,6
rec-025-dup-0,m,kristo,morrison,2612,g,NA
rec-025-org,m,kristo,morrison,2612,g,7
rec-026-dup-0,f,madishn,lowe,2615,d,6
rec-026-org,f,madison,lowe,2615,d,6
rec-027-dup-0,m,kai,white,2617,NA,2
rec-027-org,m,kai,white,2617,g,2
rec-028-dup-0,m,jared,gogelb,2902,h,2
rec-028-org,m,jared,gogel,2902,h,2
rec-029-dup-0,m,oliver,fitzpatric1<,2904,j,4
rec-029-org,m,oliver,fitzpatrick,2904,j,4
rec-030-dup-0,f,sophie,weaver,2602,s,3
rec-030-org,f,sophie,weaver,2602,a,3
rec-031-dup-0,f,stephanie,nguuen,2617,d,1
rec-031-org,f,stephanie,nguyen,2617,d,1
rec-032-dup-0,f,imogen,brauack,2615,g,5
rec-032-org,f,imogen,braunack,2615,g,5
rec-033-dup-0,f,catherine,savas,2605,h,4
rec-033-org,f,catherine,savas,2605,h,5
rec-034-dup-0,m,ayden,gamlin,2606,NA,6
rec-034-org,m,ayden,gamlin,2606,s,6
rec-035-dup-0,m,nathan,hanigan,2904,h,2
rec-035-org,m,nathan,hanigan,2904,h,1
rec-036-dup-0,m,corey,priejt,2904,d,6
rec-036-org,m,corey,priest,2904,d,6
rec-037-dup-0,m,damiem,chandler,2602,d,7
rec-037-org,m,damien,chandler,2602,d,7
rec-038-dup-0,f,zarlia,coppinger,2615,j,NA
rec-038-org,f,zarlia,coppinger,2615,j,5
rec-039-dup-0,m,benjamin,perriahm,2902,h,2
rec-039-org,m,benjamin,perriam,2902,h,2
rec-040-dup-0,f,georgia,colenan,2607,f,4
rec-040-org,f,georgia,coleman,2607,f,4
rec-041-dup-0,f,brooke,somina,2602,j,NA
rec-041-org,f,brooke,somina,2602,j,2
rec-042-dup-0,m,luca5,ryan,2913,d,3
rec-042-org,m,lucas,ryan,2913,d,3
rec-043-dup-0,m,thomas,dixori,2617,g,3
rec-043-org,m,thomas,dixon,2617,g,3
rec-044-dup-0,m,james,sedd0n,2617,f,4
rec-044-org,m,james,seddon,2617,f,4
rec-045-dup-0,f,sophie,perin,2913,g,5
rec-045-org,f,sophie,perin,2913,f,5
rec-046-dup-0,f,alexandra,mewett,2617,g,NA
rec-046-org,f,alexandra,mewett,2617,g,6
rec-047-dup-0,f,claire,van limbeel<,2912,g,2
rec-047-org,f,claire,van limbeek,2912,g,2
rec-048-dup-0,f,emma,snell,2905,f,2
rec-048-org,f,emma,snell,2905,f,3
rec-049-dup-0,f,madison,george,2617,k,6
rec-049-org,f,madison,george,2617,j,6
rec-050-dup-0,f,aleisha,nikakis,2612,f,2
rec-050-org,f,aleisha,nikakis,2612,d,2
rec-051-dup-0,f,ruby,zilm,2913,f,3
rec-051-org,f,ruby,zilm,2913,g,3
rec-052-dup-0,m,bailey,loqry,2612,f,5
rec-052-org,m,bailey,lowry,2612,f,5
rec-053-dup-0,f,eliza,newton-howieson,2617,s,7
rec-053-org,f,eliza,newton-howieson,2617,s,8
rec-054-dup-0,f,catherine,jeffrsies,2612,d,2
rec-054-org,f,catherine,jeffries,2612,d,2
rec-055-dup-0,f,roberta,ma,2905,j,2
rec-055-org,f,roberta,ma,2905,j,1
rec-056-dup-0,m,aidan,loww,2606,f,1
rec-056-org,m,aidan,lowe,2606,f,1
rec-057-dup-0,m,lachlan,van tholen,2604,NA,6
rec-057-org,m,lachlan,van tholen,2604,d,6
rec-058-dup-0,m,dylan,crapp,2615,NA,3
rec-058-org,m,dylan,crapp,2615,d,3
rec-059-dup-0,f,jasmine,kunawan,2607,g,2
rec-059-org,f,jasmine,gunawan,2607,g,2
rec-060-dup-0,m,lee,rundl,2903,g,6
rec-060-org,m,lee,rundle,2903,g,6
rec-061-dup-0,m,daniel,forwood,2902,f,NA
rec-061-org,m,daniel,forwood,2902,f,2
rec-062-dup-0,m,riley,rosa,2602,NA,4
rec-062-org,m,riley,rosa,2602,f,4
rec-063-dup-0,m,michael,mccarthy,2615,k,1
rec-063-org,m,michael,mccarthy,2615,j,1
rec-064-dup-0,f,hnnah,wurmburdang,2905,h,1
rec-064-org,f,hannah,wurmburdang,2905,h,1
rec-065-dup-0,f,hayley,bab0l,2906,d,3
rec-065-org,f,hayley,babol,2906,d,3
rec-066-dup-0,f,peydon,lowe,2905,k,1
rec-066-org,f,peyton,lowe,2905,k,1
rec-067-dup-0,m,coopwr,stancombe,2615,f,7
rec-067-org,m,cooper,stancombe,2615,f,7
rec-068-dup-0,m,zachary,gilbertson,2607,s,6
rec-068-org,m,zachary,gilbertson,2607,d,6
rec-069-dup-0,m,jake,boulter,2611,NA,5
rec-069-org,m,jake,boulter,2611,h,5
rec-070-dup-0,f,jessica,morcom,2614,NA,5
rec-070-org,f,jessica,morcom,2614,g,5
rec-071-dup-0,f,lara,dreyer,2905,s,NA
rec-071-org,f,lara,dreyer,2905,s,8
rec-072-dup-0,f,kasey,miels,2914,f,NA
rec-072-org,f,kasey,miels,2914,f,7
rec-073-dup-0,m,barkly,callhan,2607,g,2
rec-073-org,m,barkly,callahan,2607,g,2
rec-074-dup-0,m,tyler,rapjon,2905,h,2
rec-074-org,m,tyler,rapson,2905,h,2
rec-075-dup-0,m,lukas,ulbrich,2905,d,4
rec-075-org,m,lucas,ulbrich,2905,d,4
rec-076-dup-0,f,madeleine,coleman,2906,f,2
rec-076-org,f,madeleine,coleman,2906,f,1
rec-077-dup-0,f,danielle,boyle,2607,f,3
rec-077-org,f,danielle,boyle,2607,g,3
rec-078-dup-0,m,lachlan,shepherd,2604,h,2
rec-078-org,m,lachlan,shepherd,2604,h,1
rec-079-dup-0,m,gianni,rinland,2902,s,6
rec-079-org,m,gianni,ringland,2902,s,6
rec-080-dup-0,f,chelsea,consttance,2614,k,1
rec-080-org,f,chelsea,constance,2614,k,1
rec-081-dup-0,f,hattie,white,2902,NA,7
rec-081-org,f,hattie,white,2902,h,7
rec-082-dup-0,f,emiily,lowe,2615,d,5
rec-082-org,f,emiily,lowe,2615,f,5
rec-083-dup-0,f,alannah,apolinar,2902,f,NA
rec-083-org,f,alannah,apolinar,2902,f,4
rec-084-dup-0,f,bethanie,coulson,2603,f,NA
rec-084-org,f,bethanie,coulson,2603,f,2
rec-085-dup-0,f,millie,pateson,2617,g,2
rec-085-org,f,millie,paterson,2617,g,2
rec-086-dup-0,m,olivor,bleeser,2606,d,2
rec-086-org,m,oliver,bleeser,2606,d,2
rec-087-dup-0,f,michaela,donegan,2607,NA,1
rec-087-org,f,michaela,donegan,2607,f,1
rec-088-dup-0,f,nasyah,berryman,2903,a,7
rec-088-org,f,nasyah,berryman,2903,a,6
rec-089-dup-0,f,amt,hurem,2905,f,5
rec-089-org,f,amy,hurem,2905,f,5
rec-090-dup-0,m,sarn,muskee,2611,h,5
rec-090-org,m,sam,muskee,2611,h,5
rec-091-dup-0,m,nathan,paterson,2603,a,5
rec-091-org,m,nathan,paterson,2603,a,6
rec-092-dup-0,m,jakz,tinsley,2615,d,2
rec-092-org,m,jake,tinsley,2615,d,2
rec-093-dup-0,m,laclan,britten,2906,f,1
rec-093-org,m,lachlan,britten,2906,f,1
